Fighter,Wins,WinsByKO,WinsBySubmission,WinsByDecision,Losses,HeightCms,ReachCms,AvgSigStrLanded,AvgTDLanded,AvgSigStrPct,AvgSubAtt,Stance,WeightLbs,Age,KoPct,SubPct,DecPct,AvgRounds,Elo,OpponentElo,SigStrAbsorbed,CurrentWinStreak,FinishL5,LossesByKO,LossesBySub,LossesByDec,WinPct,TotalRoundsFought
Anthony Hernandez,6,1,4,1,2,182.88,190.5,4.9,6.64,0.63,2.3,Orthodox,185,31,0.1666666666666666,0.6666666666666666,0.1666666666666666,2.375,1563.1148547195708,1522.6178296497555,3.36,5,4.0,1.0,0.0,0.0,0.75,19
Michel Pereira,9,2,3,4,2,185.42,185.42,4.46,1.27,0.53,0.8,Orthodox,185,31,0.2222222222222222,0.3333333333333333,0.4444444444444444,2.272727272727273,1581.346070084913,1509.2720528520224,3.74,8,3.0,0.0,0.0,1.0,0.8181818181818182,25
Rob Font,10,6,1,3,7,172.72,180.34,5.44,0.84,0.45,0.3,Orthodox,135,37,0.6,0.1,0.3,2.7058823529411766,1500.5171810857566,1536.2300082791817,3.65,0,3.333333333333333,0.0,0.0,4.0,0.5882352941176471,46
Kyler Phillips,7,2,1,4,1,172.72,182.88,5.28,2.63,0.44,0.4,Orthodox,135,29,0.2857142857142857,0.1428571428571428,0.5714285714285714,2.625,1558.5476157152325,1499.497370256222,3.36,3,2.0,0.0,0.0,0.0,0.875,21
Charles Johnson,5,2,0,3,4,175.26,177.8,4.77,0.56,0.5,0.4,Switch,125,33,0.4,0.0,0.6,2.7777777777777777,1530.3821177403076,1504.1687079035692,3.27,3,2.0,0.0,0.0,4.0,0.5555555555555556,25
Sumudaerji,3,1,0,2,3,172.72,182.88,4.72,0.23,0.53,0.9,Southpaw,125,28,0.3333333333333333,0.0,0.6666666666666666,2.0,1475.6593012011806,1512.0026345157005,2.75,0,0.0,0.0,2.0,0.0,0.5,12
Darren Elkins,18,4,3,11,10,177.8,180.34,3.4,2.86,0.38,1.1,Orthodox,145,40,0.2222222222222222,0.1666666666666666,0.6111111111111112,2.571428571428572,1501.351196905597,1505.212704105577,3.27,1,3.75,1.0,0.0,3.0,0.6428571428571429,72
Daniel Pineda,5,1,4,0,7,170.18,175.26,2.85,1.42,0.49,1.5,Orthodox,145,39,0.2,0.8,0.0,2.25,1485.7211059236313,1518.01481866073,3.18,0,5.0,1.0,0.0,2.0,0.4166666666666667,27
Brad Katona,4,0,0,4,3,167.64,162.56,4.84,1.88,0.52,0.0,Orthodox,135,32,0.0,0.0,1.0,3.0,1500.714234731793,1500.1369027837222,4.57,1,0.0,0.0,0.0,2.0,0.5714285714285714,21
Jean Matsumoto,2,0,1,1,0,167.64,172.72,5.2,1.13,0.4,0.4,Orthodox,135,25,0.0,0.5,0.5,2.5,1512.5528121709942,1501.091074835147,6.6,2,5.0,0.0,0.0,0.0,1.0,5
Joselyne Edwards,4,0,0,4,4,172.72,177.8,4.48,1.23,0.52,0.6,Orthodox,135,29,0.0,0.0,1.0,3.0,1501.1221377740812,1497.397466809985,3.36,0,0.0,0.0,0.0,3.0,0.5,24
Tamires Vidal,1,1,0,0,2,167.64,172.72,2.91,0.0,0.53,0.7,Orthodox,135,26,1.0,0.0,0.0,2.333333333333333,1488.054911154823,1496.04958032105,4.53,0,5.0,1.0,0.0,1.0,0.3333333333333333,7
Jessica Penne,6,1,3,2,6,165.1,170.18,2.63,1.29,0.33,0.5,Orthodox,115,41,0.1666666666666666,0.5,0.3333333333333333,2.5,1493.5044027484796,1495.6332006874372,4.75,0,2.5,0.0,1.0,1.0,0.5,30
Elise Reed,3,0,0,3,4,160.02,160.02,3.5,0.49,0.53,0.0,Orthodox,115,31,0.0,0.0,1.0,2.4285714285714284,1478.013872643614,1498.4517357715215,3.06,0,0.0,2.0,2.0,0.0,0.4285714285714285,17
