RedFighter,BlueFighter,Winner,WinnerName,WeightClass,Gender,Finish,FinishDetails,RedWins,RedWinsByKO,RedWinsBySubmission,RedWinsByDecision,RedLosses,BlueWins,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByDecision,BlueLosses,RedHeightCms,BlueHeightCms,RedReachCms,BlueReachCms,RedAvgSigStrLanded,RedAvgTDLanded,RedAvgSigStrPct,RedAvgSubAtt,BlueAvgSigStrLanded,BlueAvgTDLanded,BlueAvgSigStrPct,BlueAvgSubAtt,RedStance,BlueStance,RedWeightLbs,RedAge,WinStreakDif,WinDif,LossDiff,KODif,SubDif,DecDif,HeightDif,ReachDif,AgeDif,SigStrDif,StrPctDif,TDDif,SubAttDif,categorical_outcome,winner_number,StrikeTotal,StrikeAccuracyAvg,RedKoPct,BlueKoPct,RedSubPct,BlueSubPct,RedDecPct,BlueDecPct,RedAvgRounds,BlueAvgRounds,KoPctDif,SubPctDif,DecPctDif,AvgRoundsDif,ExperienceDif,RedElo,BlueElo,EloDif,RedOpponentElo,BlueOpponentElo,OpponentEloDif,RedSigStrAbsorbed,BlueSigStrAbsorbed,SigStrAbsorbedDif,FinishPctDif,TotalSigStrAbsorbed,AvgKoPct,AvgSubPct,AvgDecPct,AvgAge,AvgWinStreak,RedCurrentWinStreak,BlueCurrentWinStreak,RedFinishL5,BlueFinishL5,RedLossesByKO,RedLossesBySub,RedLossesByDec,BlueLossesByKO,BlueLossesBySub,BlueLossesByDec,BlueAge,FinishL5Dif,WinPctDif,BlueWinPct,RedWinPct,LossesByKODif,LossesBySubDif,LossesByDecDif,BlueWeightLbs,RedTotalRoundsFought,BlueTotalRoundsFought,RedOdds,BlueOdds,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
CJ Vergara,Ode Osbourne,Blue,Ode Osbourne,Flyweight,MALE,DEC,No Finish,1,1,0,0,0,2,1,1,0,2,167.64,170.18,172.72,185.42,5.24,0.0,0.57,0.2,3.46,1.27,0.38,0.2,Orthodox,Southpaw,125,30,1,-1,-2,0,-1,0,-2.5400000000000205,-12.699999999999989,1,1.7800000000000002,0.18999999999999995,-1.27,0.0,5,1,8.7,0.475,1.0,0.5,0.0,0.5,0.0,0.0,1.0,1.0,0.5,-0.5,0.0,0.0,-3,1500.0,1478.517758324792,21.482241675207888,1478.517758324792,1487.1017627468877,-8.584004422095632,5.01,4.41,0.5999999999999996,0.0,9.42,0.75,0.25,0.0,29.5,0.5,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29,0.0,0.5,0.5,1.0,-1.0,0.0,0.0,125,1,4,170.0,-200.0,500.0,330.0,2600.0,225.0,320.0,330.0
Jan Blachowicz,Glover Teixeira,Blue,Glover Teixeira,Light Heavyweight,MALE,SUB,Rear Naked Choke,11,4,2,5,5,18,8,7,3,6,187.96,187.96,198.12,193.04,3.41,1.09,0.5,0.3,3.73,2.11,0.49,0.9,Orthodox,Orthodox,205,38,0,-7,-1,-4,-5,2,0.0,5.0800000000000125,-4,-0.31999999999999984,0.010000000000000009,-1.0199999999999998,-0.6000000000000001,4,1,7.140000000000001,0.495,0.36363636363636365,0.4444444444444444,0.18181818181818182,0.3888888888888889,0.45454545454545453,0.16666666666666666,2.75,2.25,-0.08080808080808077,-0.20707070707070707,0.28787878787878785,0.5,-8,1571.6907292030514,1540.512158442919,31.178570760132516,1519.5021930684136,1515.422682300763,4.079510767650618,2.91,4.43,-1.5199999999999996,-0.28787878787878796,7.34,0.40404040404040403,0.28535353535353536,0.3106060606060606,40.0,5.0,5,5,3.75,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,42,0.4166666666666665,-0.0625,0.75,0.6875,0.0,0.0,0.0,205,44,54,-265.0,215.0,225.0,700.0,1200.0,750.0,110.0,700.0
Petr Yan,Cory Sandhagen,Red,Petr Yan,Bantamweight,MALE,DEC,No Finish,7,4,0,3,1,7,4,1,2,2,170.18,180.34,170.18,177.8,5.14,1.73,0.53,0.1,5.02,1.19,0.44,0.3,Switch,Switch,135,28,0,0,-1,0,-1,1,-10.159999999999997,-7.6200000000000045,-1,0.1200000000000001,0.09000000000000002,0.54,-0.19999999999999998,2,0,10.16,0.485,0.5714285714285714,0.5714285714285714,0.0,0.14285714285714285,0.42857142857142855,0.2857142857142857,3.0,2.2222222222222223,0.0,-0.14285714285714285,0.14285714285714285,0.7777777777777777,-1,1507.2496033859184,1529.1744724725122,-21.924869086593844,1514.0712685995968,1500.4468450078236,13.624423591773166,4.26,3.4,0.8599999999999999,-0.1428571428571429,7.66,0.5714285714285714,0.07142857142857142,0.3571428571428571,28.5,0.0,0,0,5.0,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,1.0,29,1.6666666666666665,0.09722222222222221,0.7777777777777778,0.875,0.0,-1.0,-1.0,135,24,20,-305.0,240.0,165.0,380.0,1000.0,1200.0,200.0,600.0
Islam Makhachev,Dan Hooker,Red,Islam Makhachev,Lightweight,MALE,SUB,Kimura,9,1,4,4,1,11,6,2,3,6,177.8,182.88,177.8,190.5,2.65,3.19,0.59,1.1,5.03,0.73,0.48,0.3,Southpaw,Switch,155,30,7,-2,-5,-5,2,1,-5.079999999999984,-12.699999999999989,-1,-2.3800000000000003,0.10999999999999999,2.46,0.8,1,0,7.68,0.5349999999999999,0.1111111111111111,0.5454545454545454,0.4444444444444444,0.18181818181818182,0.4444444444444444,0.2727272727272727,2.4,2.411764705882353,-0.4343434343434343,0.2626262626262626,0.1717171717171717,-0.0117647058823529,-7,1540.9448776901154,1521.308521660255,19.63635602986028,1522.7501124166624,1511.9796887979116,10.770423618750783,1.27,4.76,-3.4899999999999998,-0.1717171717171717,6.029999999999999,0.3282828282828283,0.31313131313131315,0.35858585858585856,30.5,4.5,8,1,3.3333333333333335,1.25,0.0,0.0,0.0,1.0,0.0,1.0,31,2.0833333333333335,0.2529411764705882,0.6470588235294118,0.9,-1.0,0.0,-1.0,155,24,41,-590.0,425.0,-120.0,800.0,240.0,2500.0,600.0,1000.0
Alexander Volkov,Marcin Tybura,Red,Alexander Volkov,Heavyweight,MALE,DEC,No Finish,7,4,0,3,3,9,4,0,5,5,200.66,190.5,203.2,198.12,5.13,0.45,0.57,0.2,3.57,1.42,0.48,0.1,Orthodox,Orthodox,250,33,-5,-2,-2,0,0,-2,10.159999999999997,5.079999999999984,-2,1.56,0.08999999999999997,-0.97,0.1,2,0,8.7,0.5249999999999999,0.5714285714285714,0.4444444444444444,0.0,0.0,0.42857142857142855,0.5555555555555556,3.3,2.642857142857143,0.12698412698412698,0.0,-0.12698412698412703,0.657142857142857,-4,1514.7549901161594,1564.06427710136,-49.309286985200515,1535.9057803607793,1509.8188269218479,26.08695343893146,3.0,3.35,-0.3500000000000001,0.12698412698412698,6.35,0.5079365079365079,0.0,0.4920634920634921,34.0,2.5,0,5,5.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,35,3.0,0.05714285714285705,0.6428571428571429,0.7,-1.0,0.0,2.0,249,33,37,-260.0,210.0,180.0,475.0,1000.0,1800.0,130.0,750.0
Li Jingliang,Khamzat Chimaev,Blue,Khamzat Chimaev,Welterweight,MALE,SUB,Rear Naked Choke,10,7,0,3,4,3,2,1,0,0,182.88,187.96,180.34,190.5,4.46,1.19,0.42,0.0,5.72,3.99,0.58,2.7,Orthodox,Orthodox,170,33,-2,7,4,5,-1,3,-5.0800000000000125,-10.159999999999997,6,-1.2599999999999998,-0.15999999999999998,-2.8000000000000003,-2.7,4,1,10.18,0.5,0.7,0.6666666666666666,0.0,0.3333333333333333,0.3,0.0,2.357142857142857,1.3333333333333333,0.033333333333333326,-0.3333333333333333,0.3,1.023809523809524,11,1519.5763472864294,1550.2274193465744,-30.651072060144998,1512.5568548366437,1508.2800093505687,4.27684548607499,3.84,3.46,0.3799999999999999,-0.30000000000000004,7.3,0.6833333333333333,0.16666666666666666,0.15,30.0,2.0,1,3,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0.0,-0.2857142857142857,1.0,0.7142857142857143,0.0,0.0,0.0,185,33,4,330.0,-435.0,900.0,275.0,3500.0,225.0,800.0,140.0
Magomed Ankalaev,Volkan Oezdemir,Red,Magomed Ankalaev,Light Heavyweight,MALE,DEC,No Finish,6,4,0,2,1,5,3,0,2,4,190.5,187.96,190.5,190.5,3.64,1.02,0.53,0.0,4.79,0.56,0.48,0.1,Orthodox,Orthodox,205,29,6,1,-3,1,0,0,2.539999999999992,0.0,-3,-1.15,0.050000000000000044,0.45999999999999996,-0.1,2,0,8.43,0.505,0.6666666666666666,0.6,0.0,0.0,0.3333333333333333,0.4,2.142857142857143,2.2222222222222223,0.06666666666666665,0.0,-0.06666666666666671,-0.07936507936507953,-2,1553.5052249663677,1498.8499774443092,54.65524752205852,1506.3414116465897,1517.8350749887893,-11.493663342199625,2.2,3.92,-1.7199999999999998,0.06666666666666665,6.12,0.6333333333333333,0.0,0.3666666666666667,30.5,3.0,6,0,3.3333333333333335,5.0,0.0,0.0,0.0,1.0,0.0,0.0,32,-1.6666666666666665,0.3015873015873015,0.5555555555555556,0.8571428571428571,-1.0,0.0,0.0,205,15,20,-365.0,280.0,215.0,800.0,1400.0,2000.0,110.0,450.0
Amanda Ribas,Virna Jandiroba,Red,Amanda Ribas,Women's Strawweight,FEMALE,DEC,No Finish,4,0,2,2,1,3,1,2,0,2,160.02,160.02,167.64,162.56,4.63,2.07,0.4,0.7,2.12,2.29,0.38,1.7,Orthodox,Orthodox,125,28,-1,1,-1,-1,0,2,0.0,5.079999999999984,-5,2.51,0.020000000000000018,-0.2200000000000002,-1.0,2,0,6.75,0.39,0.0,0.3333333333333333,0.5,0.6666666666666666,0.5,0.0,2.2,2.2,-0.3333333333333333,-0.16666666666666663,0.5,0.0,0,1529.1019424307951,1518.3805343365545,10.721408094240587,1503.6439180619345,1513.498027778185,-9.854109716250377,3.33,3.03,0.30000000000000027,-0.5,6.359999999999999,0.16666666666666666,0.5833333333333333,0.25,30.5,0.5,0,1,2.5,5.0,1.0,0.0,0.0,0.0,0.0,1.0,33,-2.5,0.20000000000000007,0.6,0.8,1.0,0.0,-1.0,115,11,11,-165.0,145.0,100.0,300.0,800.0,600.0,600.0,1000.0
Ricardo Ramos,Zubaira Tukhugov,Blue,Zubaira Tukhugov,Featherweight,MALE,DEC,No Finish,6,1,1,4,2,4,2,0,2,2,175.26,172.72,182.88,172.72,3.03,2.77,0.36,0.8,3.17,2.13,0.39,0.0,Orthodox,Orthodox,145,26,1,2,0,-1,1,2,2.539999999999992,10.159999999999997,-4,-0.14000000000000012,-0.030000000000000027,0.6400000000000001,0.8,5,1,6.199999999999999,0.375,0.16666666666666666,0.5,0.16666666666666666,0.0,0.6666666666666666,0.5,2.25,2.8333333333333335,-0.33333333333333337,0.16666666666666666,0.16666666666666663,-0.5833333333333335,2,1509.455160569913,1509.1619038444267,0.2932567254863443,1502.6669711105083,1504.8183868566375,-2.15141574612926,3.78,3.07,0.71,-0.16666666666666669,6.85,0.3333333333333333,0.08333333333333333,0.5833333333333333,28.0,0.5,1,0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,30,-5.0,0.08333333333333337,0.6666666666666666,0.75,1.0,0.0,-1.0,155,18,17,140.0,-160.0,300.0,140.0,500.0,1600.0,1200.0,300.0
Shamil Gamzatov,Michal Oleksiejczuk,Blue,Michal Oleksiejczuk,Light Heavyweight,MALE,KO/TKO,Punch,1,0,0,1,0,3,2,0,1,2,187.96,182.88,193.04,187.96,5.35,0.0,0.48,0.0,5.08,1.08,0.5,0.0,Orthodox,Southpaw,205,31,0,-2,-2,-2,0,0,5.0800000000000125,5.079999999999984,5,0.2699999999999996,-0.020000000000000018,-1.08,0.0,3,1,10.43,0.49,0.0,0.6666666666666666,0.0,0.0,1.0,0.3333333333333333,3.0,2.2,-0.6666666666666666,0.0,0.6666666666666667,0.7999999999999998,-4,1500.0,1486.101531888213,13.898468111786997,1486.101531888213,1499.5336468384294,-13.432114950216373,3.46,4.17,-0.71,-0.6666666666666666,7.63,0.3333333333333333,0.0,0.6666666666666666,28.5,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26,0.0,0.4,0.6,1.0,0.0,-1.0,0.0,185,3,11,-105.0,-115.0,180.0,240.0,500.0,2000.0,500.0,350.0
Makwan Amirkhani,Lerone Murphy,Blue,Lerone Murphy,Featherweight,MALE,KO/TKO,Knee,6,1,3,2,4,2,1,0,1,0,177.8,175.26,182.88,185.42,1.33,3.96,0.44,1.1,5.01,1.59,0.54,0.6,Southpaw,Orthodox,145,32,-2,4,4,0,3,1,2.5400000000000205,-2.539999999999992,2,-3.6799999999999997,-0.10000000000000003,2.37,0.5000000000000001,3,1,6.34,0.49,0.16666666666666666,0.5,0.5,0.0,0.3333333333333333,0.5,2.3,3.5,-0.33333333333333337,0.5,-0.16666666666666669,-1.2000000000000002,8,1481.3092216353448,1534.96328913961,-53.654067504265186,1503.9846655479296,1498.7697405451152,5.214925002814425,2.98,2.4,0.5800000000000001,0.16666666666666663,5.38,0.3333333333333333,0.25,0.41666666666666663,31.0,1.0,0,2,5.0,2.5,0.0,0.0,2.0,0.0,0.0,0.0,30,2.5,-0.4,1.0,0.6,0.0,0.0,2.0,145,23,7,215.0,-265.0,500.0,150.0,600.0,1500.0,1400.0,165.0
Paulo Costa,Marvin Vettori,Blue,Marvin Vettori,Light Heavyweight,MALE,DEC,No Finish,5,4,0,1,1,7,0,2,5,3,185.42,182.88,182.88,187.96,6.22,0.36,0.58,0.0,4.56,1.66,0.45,0.5,Orthodox,Southpaw,185,30,0,-2,-2,4,-2,-4,2.539999999999992,-5.0800000000000125,2,1.6600000000000001,0.12999999999999995,-1.2999999999999998,-0.5,5,1,10.78,0.515,0.8,0.0,0.0,0.2857142857142857,0.2,0.7142857142857143,2.0,3.5,0.8,-0.2857142857142857,-0.5142857142857142,-1.5,-4,1496.0635969782654,1552.761299491056,-56.697702512790556,1528.7517729644833,1513.0560986175303,15.695674346952956,6.38,4.24,2.1399999999999997,0.5142857142857143,10.620000000000001,0.4,0.14285714285714285,0.4571428571428572,29.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,28,-1.0,0.13333333333333341,0.7,0.8333333333333334,1.0,0.0,-1.0,185,12,35,170.0,-200.0,600.0,215.0,2500.0,300.0,300.0,400.0
Jessica-Rose Clark,Joselyne Edwards,Red,Jessica-Rose Clark,Women's Bantamweight,FEMALE,DEC,No Finish,3,1,0,2,2,1,0,0,1,1,165.1,172.72,162.56,177.8,3.73,1.66,0.51,0.3,4.35,0.88,0.51,0.4,Orthodox,Orthodox,135,33,1,2,1,1,0,1,-7.6200000000000045,-15.240000000000009,7,-0.6199999999999997,0.0,0.7799999999999999,-0.10000000000000003,2,0,8.08,0.51,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,1.0,3.0,3.0,0.3333333333333333,0.0,-0.33333333333333337,0.0,3,1520.0,1514.4605643488171,5.539435651182885,1507.2302821744086,1503.75,3.4802821744085577,3.51,3.36,0.1499999999999999,0.3333333333333333,6.869999999999999,0.16666666666666666,0.0,0.8333333333333333,29.5,0.5,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,5.0,0.09999999999999998,0.5,0.6,0.0,0.0,0.0,135,15,6,-145.0,125.0,100.0,200.0,1100.0,1200.0,550.0,1400.0
Alex Caceres,SeungWoo Choi,Red,Alex Caceres,Featherweight,MALE,SUB,Rear Naked Choke,13,1,3,9,10,3,1,0,2,2,177.8,182.88,185.42,187.96,4.21,0.54,0.49,0.7,3.51,0.86,0.39,0.0,Southpaw,Orthodox,145,33,1,10,8,0,3,7,-5.079999999999984,-2.5400000000000205,5,0.7000000000000002,0.09999999999999998,-0.31999999999999995,0.7,1,0,7.72,0.44,0.07692307692307693,0.3333333333333333,0.23076923076923078,0.0,0.6923076923076923,0.6666666666666666,2.6956521739130435,2.6,-0.2564102564102564,0.23076923076923078,0.02564102564102566,0.09565217391304337,18,1554.5594248248399,1536.4779824824718,18.081442342368064,1509.6988388849693,1532.7984243481858,-23.0995854632165,2.93,3.02,-0.08999999999999986,-0.025641025641025605,5.95,0.20512820512820512,0.11538461538461539,0.6794871794871795,30.5,3.5,4,3,1.25,2.5,0.0,0.0,0.0,0.0,0.0,0.0,28,-1.25,-0.034782608695652195,0.6,0.5652173913043478,0.0,0.0,0.0,145,62,13,205.0,-255.0,450.0,-110.0,1200.0,1400.0,900.0,275.0
Francisco Trinaldo,Dwight Grant,Red,Francisco Trinaldo,Welterweight,MALE,DEC,No Finish,16,5,2,9,7,4,2,0,2,2,175.26,185.42,177.8,193.04,3.13,0.98,0.45,0.5,3.29,0.61,0.36,0.0,Southpaw,Switch,170,43,-1,12,5,3,2,7,-10.159999999999997,-15.23999999999998,6,-0.16000000000000014,0.09000000000000002,0.37,0.5,2,0,6.42,0.405,0.3125,0.5,0.125,0.0,0.5625,0.5,2.5652173913043477,2.1666666666666665,-0.1875,0.125,0.0625,0.39855072463768115,17,1506.5820609387963,1492.0794348142463,14.502626124550034,1507.0475023810238,1511.180875095871,-4.133372714847155,2.67,2.66,0.009999999999999787,-0.0625,5.33,0.40625,0.0625,0.53125,40.0,0.5,0,1,2.5,0.0,0.0,0.0,2.0,1.0,0.0,0.0,37,2.5,0.02898550724637683,0.6666666666666666,0.6956521739130435,-1.0,0.0,2.0,185,59,13,-125.0,105.0,180.0,240.0,800.0,2500.0,350.0,380.0
Nicolae Negumereanu,Ike Villanueva,Red,Nicolae Negumereanu,Light Heavyweight,MALE,KO/TKO,Punches,1,0,0,1,1,1,1,0,0,3,182.88,185.42,198.12,185.42,3.58,1.02,0.41,0.0,3.66,0.6,0.38,0.0,Orthodox,Orthodox,205,27,1,0,-2,-1,0,1,-2.539999999999992,12.700000000000017,-10,-0.08000000000000007,0.02999999999999997,0.42000000000000004,0.0,0,0,7.24,0.395,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.75,-1.0,0.0,1.0,1.25,-2,1509.568533338977,1462.3380822451434,47.23045109383361,1473.6690411225718,1494.576310942882,-20.907269820310148,5.56,7.24,-1.6800000000000006,-1.0,12.8,0.5,0.0,0.5,32.0,0.5,1,0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,37,-5.0,0.25,0.25,0.5,-3.0,0.0,0.0,205,6,7,-240.0,195.0,330.0,800.0,300.0,2800.0,180.0,330.0
JunYong Park,Gregory Rodrigues,Blue,Gregory Rodrigues,Middleweight,MALE,KO/TKO,Punch,3,0,0,3,1,1,0,0,1,1,177.8,190.5,185.42,190.5,4.53,1.83,0.5,1.1,5.52,2.74,0.56,0.4,Orthodox,Orthodox,185,30,2,2,0,0,0,2,-12.699999999999989,-5.0800000000000125,1,-0.9899999999999993,-0.06000000000000005,-0.9100000000000001,0.7000000000000001,3,1,10.05,0.53,0.0,0.0,0.0,0.0,1.0,1.0,2.75,2.0,0.0,0.0,0.0,0.75,2,1500.0,1514.86938790865,-14.86938790864997,1514.86938790865,1498.4873188208726,16.38206908777738,3.66,5.67,-2.01,0.0,9.33,0.0,0.0,1.0,29.5,2.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.25,0.5,0.75,0.0,0.0,0.0,185,11,4,115.0,-135.0,225.0,200.0,1100.0,600.0,600.0,350.0
Jamie Pickett,Laureano Staropoli,Red,Jamie Pickett,Middleweight,MALE,DEC,No Finish,1,1,0,0,4,2,0,0,2,3,187.96,185.42,203.2,180.34,2.65,1.26,0.47,0.1,3.31,0.83,0.34,0.0,Orthodox,Orthodox,185,33,0,-1,1,1,0,-2,2.5400000000000205,22.859999999999985,5,-0.6600000000000001,0.12999999999999995,0.43000000000000005,0.1,2,0,5.96,0.405,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,-1.0,-1.0,0,1465.7670035784095,1460.1340149634864,5.632988614923079,1486.1549232460131,1496.632423007517,-10.47749976150385,3.92,3.73,0.18999999999999995,1.0,7.65,0.5,0.0,0.5,30.5,0.0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,28,0.0,-0.2,0.4,0.2,1.0,0.0,-1.0,185,10,15,175.0,-210.0,350.0,100.0,2000.0,1100.0,550.0,350.0
Livinha Souza,Randa Markos,Blue,Randa Markos,Women's Strawweight,FEMALE,DEC,No Finish,3,0,1,2,2,6,0,1,5,10,160.02,162.56,160.02,160.02,1.75,2.54,0.45,1.4,2.97,1.12,0.43,0.2,Orthodox,Orthodox,115,30,0,-3,-8,0,0,-3,-2.539999999999992,0.0,-6,-1.2200000000000002,0.020000000000000018,1.42,1.2,5,1,4.720000000000001,0.44,0.0,0.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.8333333333333334,2.2,2.6875,0.0,0.16666666666666666,-0.16666666666666674,-0.4874999999999998,-11,1481.6748465192688,1447.7093480357687,33.96549848350014,1491.8647297143743,1503.2474632121684,-11.382733497794106,3.6,3.1,0.5,0.16666666666666666,6.7,0.0,0.25,0.75,33.0,0.0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,36,0.0,0.22499999999999998,0.375,0.6,1.0,-1.0,-1.0,115,11,43,-135.0,115.0,150.0,130.0,600.0,1100.0,800.0,2000.0
Aspen Ladd,Norma Dumont,Blue,Norma Dumont,Women's Featherweight,FEMALE,DEC,No Finish,4,3,0,1,1,2,0,0,2,1,167.64,170.18,167.64,170.18,3.78,1.56,0.47,0.6,3.11,1.91,0.49,0.0,Orthodox,Orthodox,135,26,-1,2,0,3,0,-1,-2.5400000000000205,-2.5400000000000205,-5,0.6699999999999999,-0.020000000000000018,-0.34999999999999987,0.6,5,1,6.89,0.48,0.75,0.0,0.0,0.0,0.25,1.0,2.0,2.3333333333333335,0.75,0.0,-0.75,-0.3333333333333335,2,1487.5,1506.4497490023384,-18.94974900233842,1503.2248745011693,1498.2598589127956,4.965015588373717,4.65,1.99,2.66,0.75,6.640000000000001,0.375,0.0,0.625,28.5,1.5,1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31,0.0,0.13333333333333341,0.6666666666666666,0.8,-1.0,0.0,0.0,135,10,7,-140.0,120.0,350.0,300.0,600.0,700.0,225.0,450.0
Andrei Arlovski,Carlos Felipe,Red,Andrei Arlovski,Heavyweight,MALE,DEC,No Finish,22,11,2,9,18,3,0,0,3,1,190.5,182.88,195.58,190.5,3.82,0.37,0.45,0.2,4.88,0.0,0.45,0.0,Orthodox,Orthodox,240,42,-2,19,17,11,2,6,7.6200000000000045,5.0800000000000125,16,-1.06,0.0,0.37,0.2,2,0,8.7,0.45,0.5,0.0,0.09090909090909091,0.0,0.4090909090909091,1.0,2.2,3.0,0.5,0.09090909090909091,-0.5909090909090908,-0.7999999999999998,36,1546.9282768085961,1522.5215848903606,24.406691918235538,1521.4875904330956,1508.6702365162541,12.817353916841512,3.2,5.6,-2.3999999999999995,0.5909090909090909,8.8,0.25,0.045454545454545456,0.7045454545454546,34.0,2.0,1,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26,0.0,-0.19999999999999996,0.75,0.55,0.0,1.0,0.0,245,88,12,105.0,-125.0,140.0,240.0,2000.0,2000.0,600.0,275.0
Manon Fiorot,Mayra Bueno Silva,Red,Manon Fiorot,Women's Flyweight,FEMALE,DEC,No Finish,2,2,0,0,0,3,0,3,0,1,170.18,167.64,165.1,167.64,6.26,1.17,0.41,0.0,4.01,0.64,0.59,1.5,Orthodox,Orthodox,125,31,1,-1,-1,2,-3,0,2.5400000000000205,-2.539999999999992,1,2.25,-0.18,0.5299999999999999,-1.5,2,0,10.27,0.5,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.25,1.0,-1.0,0.0,-0.25,-2,1538.8499774443092,1496.910029893704,41.93994755060521,1498.970009964568,1502.4798853877244,-3.5098754231564726,3.31,4.71,-1.4,0.0,8.02,0.5,0.5,0.0,30.5,1.5,2,1,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,30,0.0,0.25,0.75,1.0,0.0,0.0,-1.0,135,4,9,-320.0,250.0,140.0,400.0,1600.0,900.0,165.0,1400.0
Nate Landwehr,Ludovit Klein,Red,Nate Landwehr,Featherweight,MALE,SUB,Anaconda Choke,1,0,0,1,2,1,1,0,0,1,175.26,170.18,182.88,182.88,6.25,1.0,0.46,1.0,3.93,1.66,0.55,0.0,Orthodox,Southpaw,145,33,0,0,1,-1,0,1,5.079999999999984,0.0,7,2.32,-0.09000000000000002,-0.6599999999999999,1.0,1,0,10.18,0.505,0.0,1.0,0.0,0.0,1.0,0.0,1.6666666666666667,2.0,-1.0,0.0,1.0,-0.33333333333333326,1,1494.2771911485993,1504.137483083232,-9.860291934632642,1500.7256054698366,1498.0923970495332,2.63320842030339,5.58,3.53,2.0500000000000003,-1.0,9.11,0.5,0.0,0.5,29.5,0.0,0,0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,26,-5.0,-0.16666666666666669,0.5,0.3333333333333333,1.0,0.0,-1.0,155,5,4,280.0,-365.0,550.0,275.0,2800.0,900.0,700.0,-120.0
Andrew Sanchez,Bruno Silva,Blue,Bruno Silva,Middleweight,MALE,KO/TKO,Punches,5,1,0,4,4,1,1,0,0,0,185.42,182.88,187.96,187.96,4.3,2.55,0.43,0.0,4.12,0.93,0.49,0.0,Orthodox,Orthodox,185,33,-1,4,4,0,0,4,2.539999999999992,0.0,1,0.17999999999999972,-0.06,1.6199999999999997,0.0,3,1,8.42,0.45999999999999996,0.2,1.0,0.0,0.0,0.8,0.0,2.7777777777777777,1.0,-0.8,0.0,0.8,1.7777777777777777,8,1479.226994743437,1521.1492632235393,-41.922268480102275,1510.1255158080014,1493.7957711953616,16.329744612639843,5.1,3.09,2.01,-0.8,8.19,0.6,0.0,0.4,32.5,0.5,0,1,5.0,5.0,1.0,0.0,1.0,0.0,1.0,2.0,32,0.0,-0.4444444444444444,1.0,0.5555555555555556,1.0,-1.0,-1.0,185,25,1,135.0,-155.0,275.0,450.0,1000.0,1200.0,600.0,120.0
Andrew Sanchez,Bruno Silva,Blue,Bruno Silva,Middleweight,MALE,KO/TKO,Punches,5,1,0,4,4,1,1,0,0,0,185.42,182.88,187.96,187.96,4.3,2.55,0.43,0.0,4.12,0.93,0.49,0.0,Orthodox,Orthodox,185,33,-1,4,4,0,0,4,2.539999999999992,0.0,1,0.17999999999999972,-0.06,1.6199999999999997,0.0,3,1,8.42,0.45999999999999996,0.2,1.0,0.0,0.0,0.8,0.0,2.7777777777777777,1.0,-0.8,0.0,0.8,1.7777777777777777,8,1479.226994743437,1521.1492632235393,-41.922268480102275,1510.1255158080014,1493.7957711953616,16.329744612639843,5.1,5.33,-0.23000000000000043,-0.8,10.43,0.6,0.0,0.4,32.5,0.5,0,1,5.0,5.0,1.0,0.0,1.0,0.0,1.0,2.0,32,0.0,-0.4444444444444444,1.0,0.5555555555555556,1.0,-1.0,-1.0,185,25,1,135.0,-155.0,275.0,450.0,1000.0,1200.0,600.0,120.0
