,RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,RedMatchSigStr,BlueMatchSigStr,RedMatchTD,BlueMatchTD,RedMatchSubAtt,BlueMatchSubAtt,MatchFightTime,FightTag,Result
1503,Kai Kara-France,Amir Albazi,-102.0,-116.0,98.0392,86.2069,2023-06-03,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,MALE,5,0,4,0,2.8,0.39,0.7,1.71,0.33,4,0,8,0,0,0,1,1,2,0,4,Orthodox,165.1,172.72,125,1,0,0,4.56,0.39,0.0,0.61,0.33,3,3,25,1,0,1,4,2,0,0,7,Orthodox,162.56,175.26,125,30,29,-1,4,1,-3,-3,-17,-1,-1,2,2.54,-2.54,-1,-1.76,0.7,1.1,,7.0,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,7.0,,Red,S-DEC,,5.0,5:00,1500.0,220.0,410.0,1500.0,300.0,390.0,650.0,,,,,,,,Jun_03_23_kai_kara_france_amir_albazi,6
1504,Alex Caceres,Daniel Pineda,-180.0,152.0,55.5556,152.0,2023-06-03,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,1,0,2.96,0.48,1.5,1.61,0.24,2,5,21,0,0,0,0,1,4,0,5,Orthodox,170.18,175.26,145,0,1,0,4.21,0.49,0.7,0.54,0.68,5,11,68,0,0,3,6,2,4,0,15,Southpaw,177.8,185.42,145,34,37,0,0,-3,-10,-6,-47,0,-1,0,-7.62,-10.16,3,-1.25,0.8,1.07,,,15.0,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,240.0,650.0,500.0,350.0,310.0,850.0,,,,,,,,Jun_03_23_alex_caceres_daniel_pineda,3
1505,Jim Miller,Jesse Butler,-255.0,210.0,39.2157,210.0,2023-06-03,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,0,0,2.02,0.34,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,135,1,0,0,2.99,0.42,1.7,1.53,0.44,7,16,92,0,0,2,6,5,11,0,24,Southpaw,172.72,180.34,155,39,31,-1,0,-7,-24,-16,-92,0,-5,-11,5.08,5.08,-8,-0.97,-1.7,-1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1.0,0:23,23.0,320.0,750.0,240.0,500.0,300.0,900.0,,,,,,,,Jun_03_23_jim_miller_jesse_butler,1
1506,Tim Elliott,Victor Altamirano,-174.0,146.0,57.4713,146.0,2023-06-03,"Las Vegas, Nevada, USA",USA,Red,False,Flyweight,MALE,3,0,2,0,4.55,0.57,0.0,3.43,0.39,2,1,10,0,0,1,1,1,0,0,3,Switch,172.72,177.8,125,0,1,0,3.39,0.44,1.0,3.73,0.47,2,10,45,1,0,0,6,0,1,0,7,Southpaw,170.18,167.64,125,36,32,0,1,0,-4,-9,-35,-1,1,-1,2.54,10.16,-4,1.16,-1.0,-0.3,,,11.0,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,105.0,310.0,550.0,700.0,1400.0,950.0,,,,,,,,Jun_03_23_tim_elliott_victor_altamirano,3
1507,Karine Silva,Ketlen Souza,-215.0,180.0,46.5116,180.0,2023-06-03,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,0,0,4.78,0.68,0.0,0.9,0.5,0,0,0,0,0,0,0,0,0,0,0,Orthodox,160.02,160.02,115,0,2,0,2.67,0.35,2.2,3.59,0.72,2,0,3,0,0,0,0,0,2,0,2,Orthodox,165.1,170.18,125,29,28,0,-2,-2,-2,0,-3,0,0,-2,-5.08,-10.16,-1,2.11,-2.2,-2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Other - Lock,1.0,1:45,105.0,310.0,310.0,200.0,1800.0,550.0,600.0,,,,,,,,Jun_03_23_karine_silva_ketlen_souza,2
1508,Abubakar Nurmagomedov,Elizeu Zaleski dos Santos,-120.0,102.0,83.3333,102.0,2023-06-03,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,0,1,0,4.3,0.42,0.5,0.71,0.2,7,3,31,0,0,1,4,3,1,0,9,Orthodox,180.34,185.42,170,0,2,0,2.78,0.53,0.0,1.25,0.22,2,1,7,0,0,0,2,0,0,0,2,Orthodox,180.34,182.88,170,33,36,0,-1,5,7,2,24,0,3,1,0.0,2.54,3,1.52,0.5,-0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,135.0,360.0,1200.0,900.0,950.0,125.0,,,,,,,,Jun_03_23_abubakar_nurmagomedov_elizeu_zaleski_dos_santos,6
1509,Daniel Santos,Johnny Munoz,-225.0,188.0,44.4444,188.0,2023-06-03,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,0,1,0,2.44,0.36,1.8,2.4,0.25,1,2,9,0,0,0,1,0,1,0,2,Orthodox,175.26,180.34,135,0,1,0,4.26,0.37,0.0,1.9,0.5,1,1,5,0,0,0,0,1,0,0,1,Orthodox,170.18,170.18,135,28,30,0,0,0,1,1,4,0,-1,1,5.08,10.16,2,-1.82,1.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,360.0,500.0,900.0,500.0,125.0,1300.0,,,,,,,,Jun_03_23_daniel_santos_johnny_munoz,3
1510,Andrei Arlovski,Don'Tale Mayes,116.0,-136.0,116.0,73.5294,2023-06-03,"Las Vegas, Nevada, USA",USA,Blue,False,Heavyweight,MALE,3,1,0,0,3.51,0.43,0.0,0.65,0.38,2,4,23,0,0,0,1,3,0,0,4,Orthodox,198.12,205.74,260,1,0,0,3.82,0.45,0.2,0.37,0.35,6,19,98,5,0,3,9,11,2,0,25,Orthodox,190.5,195.58,240,44,31,0,0,-4,-21,-15,-75,-5,-8,-2,7.62,10.16,-13,-0.31,-0.2,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,2.0,3:17,497.0,160.0,290.0,2000.0,1100.0,1000.0,230.0,,,,,,,,Jun_03_23_andrei_arlovski_don'tale_mayes,4
1511,John Castaneda,Muin Gafurov,-165.0,108.0,60.6061,108.0,2023-06-03,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,1,0,0,3.03,0.47,0.0,1.95,0.27,0,1,3,0,0,0,0,0,0,0,0,Southpaw,170.18,172.72,135,1,0,0,4.67,0.5,0.1,1.79,0.35,2,2,12,0,0,0,1,1,1,0,3,Switch,167.64,180.34,135,31,27,0,0,-2,-3,-1,-9,0,-1,-1,2.54,-7.62,-4,-1.64,-0.1,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,180.0,350.0,750.0,950.0,460.0,420.0,,,,,,,,Jun_03_23_john_castaneda_muin_gafurov,3
1512,Jamie Mullarkey,Muhammad Naimov,260.0,360.0,260.0,360.0,2023-06-03,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,1,0,0,3.18,0.43,0.0,1.8,0.3,0,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,145,0,2,0,4.39,0.46,0.1,2.31,0.34,2,3,17,0,0,1,1,2,0,0,4,Orthodox,182.88,187.96,155,28,28,1,-2,-2,-4,-2,-14,0,-2,0,-7.62,-10.16,0,-1.21,-0.1,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,2.0,2:59,479.0,240.0,950.0,700.0,1300.0,100.0,950.0,,,,,,,,Jun_03_23_jamie_mullarkey_muhammad_naimov,4
1513,Elise Reed,Jinh Yu Frey,-132.0,112.0,75.7576,112.0,2023-06-03,"Las Vegas, Nevada, USA",USA,Red,False,Women's Strawweight,FEMALE,3,2,0,0,2.97,0.43,0.3,1.02,0.36,2,4,16,0,0,0,2,0,0,0,2,Southpaw,160.02,165.1,115,1,0,0,2.66,0.49,0.0,0.58,0.6,1,3,12,0,0,1,1,0,0,0,2,Orthodox,160.02,160.02,115,30,38,1,0,1,0,1,4,0,0,0,0.0,5.08,8,0.31,0.3,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,170.0,170.0,1300.0,900.0,400.0,1300.0,,,,,,,,Jun_03_23_elise_reed_jinh_yu_frey,3
1514,Da'Mon Blackshear,Luan Lacerda,132.0,-156.0,132.0,64.1026,2023-06-03,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,1,0,0,4.52,0.44,0.6,1.26,0.25,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,180.34,135,1,0,1,4.28,0.47,0.8,2.33,0.37,0,1,6,0,0,0,0,0,0,0,0,Switch,177.8,182.88,135,28,30,0,0,0,0,0,-3,0,0,0,-7.62,-2.54,2,0.24,-0.2,-1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2.0,3:54,534.0,195.0,230.0,1200.0,250.0,1400.0,950.0,,,,,,,,Jun_03_23_da'mon_blackshear_luan_lacerda,1
1515,Philipe Lins,Maxim Grishin,104.0,-122.0,104.0,81.9672,2023-06-03,"Las Vegas, Nevada, USA",USA,Red,False,Light Heavyweight,MALE,3,0,1,0,3.26,0.52,0.0,0.21,0.16,1,2,11,0,0,0,1,1,0,0,2,Orthodox,190.5,198.12,205,0,2,0,3.8,0.49,0.0,1.65,0.33,2,2,8,0,0,0,1,1,0,0,2,Orthodox,187.96,198.12,205,37,39,0,-1,-1,0,0,3,0,0,0,2.54,0.0,2,-0.54,0.0,-1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,250.0,210.0,900.0,1000.0,500.0,390.0,,,,,,,,Jun_03_23_philipe_lins_maxim_grishin,3
1516,Mackenzie Dern,Angela Hill,-162.0,136.0,61.7284,136.0,2023-05-20,"Las Vegas, Nevada, USA",USA,Red,False,Women's Strawweight,FEMALE,5,0,2,0,5.46,0.49,0.1,0.76,0.32,3,12,63,0,0,0,8,2,0,0,10,Orthodox,160.02,162.56,115,1,0,0,3.43,0.39,1.2,0.88,0.16,4,3,26,0,0,2,1,0,4,0,7,Orthodox,162.56,160.02,115,30,38,-1,2,-1,3,9,37,0,2,-4,-2.54,2.54,8,2.03,-1.1,-0.12,,14.0,8.0,,,8.0,,,,,,,,,,,,,14.0,,,,,,,,,,,Red,U-DEC,,5.0,5:00,1500.0,350.0,190.0,150.0,3100.0,2000.0,850.0,,,,,,,,May_20_23_mackenzie_dern_angela_hill,3
1517,Edmen Shahbazyan,Anthony Hernandez,184.0,-220.0,184.0,45.4545,2023-05-20,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,0,3,0,4.3,0.59,3.0,6.62,0.49,3,2,14,0,0,0,1,0,3,0,4,Orthodox,182.88,190.5,185,0,1,0,3.77,0.5,0.5,2.01,0.38,5,3,17,0,0,1,0,4,1,0,6,Orthodox,190.5,190.5,185,25,29,0,2,-2,-2,-1,-3,0,-4,2,-7.62,0.0,4,0.53,2.5,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Elbows,3.0,1:01,661.0,700.0,280.0,1600.0,210.0,340.0,500.0,,,,,,,,May_20_23_edmen_shahbazyan_anthony_hernandez,4
1518,Emily Ducote,Loopy Godinez,116.0,-136.0,116.0,73.5294,2023-05-20,"Las Vegas, Nevada, USA",USA,Blue,False,Catch Weight,MALE,3,0,1,0,4.16,0.48,1.0,2.95,0.47,2,3,19,0,0,1,2,0,1,0,4,Orthodox,157.48,154.94,115,1,0,0,7.45,0.52,0.0,0.2,0.14,1,1,6,0,0,0,1,0,0,0,1,Orthodox,157.48,160.02,115,29,29,-1,1,1,3,2,13,0,0,1,0.0,-5.08,0,-3.29,1.0,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,220.0,-110.0,1100.0,1000.0,700.0,2100.0,,,,,,,,May_20_23_emily_ducote_loopy_godinez,6
1519,Andre Fialho,Joaquin Buckley,194.0,-235.0,194.0,42.5532,2023-05-20,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,2,0,0,4.25,0.36,0.0,1.69,0.44,3,4,21,0,0,1,0,4,0,0,5,Southpaw,177.8,193.04,170,2,0,0,3.3,0.41,0.0,0.25,1.0,2,3,10,0,0,0,0,2,0,0,2,Orthodox,182.88,187.96,170,29,29,0,0,1,3,1,11,0,2,0,-5.08,5.08,0,0.95,0.0,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,2.0,4:15,555.0,650.0,330.0,2200.0,2200.0,320.0,115.0,,,,,,,,May_20_23_andre_fialho_joaquin_buckley,4
1520,Diego Ferreira,Michael Johnson,-146.0,124.0,68.4932,124.0,2023-05-20,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,1,0,4.27,0.39,0.0,0.62,0.41,4,14,69,1,0,1,7,5,0,0,13,Southpaw,177.8,185.42,155,3,0,0,5.04,0.39,0.6,0.96,0.3,6,5,28,0,0,0,3,3,2,0,8,Orthodox,175.26,187.96,155,38,36,-3,1,-2,5,9,41,1,2,-2,2.54,-2.54,-2,-0.77,-0.6,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,2.0,1:50,410.0,390.0,340.0,220.0,2300.0,550.0,340.0,,,,,,,,May_20_23_diego_ferreira_michael_johnson,1
1521,Maheshate,Viacheslav Borshchev,140.0,-166.0,140.0,60.241,2023-05-20,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,2,0,0,5.4,0.53,0.0,0.0,0.0,2,2,9,0,0,0,0,2,0,0,2,Orthodox,180.34,175.26,155,1,0,0,3.9,0.28,0.0,0.0,0.0,2,1,7,0,0,0,1,1,0,0,2,Orthodox,182.88,180.34,155,23,31,1,0,0,0,1,2,0,1,0,-2.54,-5.08,8,1.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,2.0,2:37,457.0,410.0,,2000.0,,340.0,,,,,,,,,May_20_23_maheshate_viacheslav_borshchev,4
1522,Karolina Kowalkiewicz,Vanessa Demopoulos,-144.0,122.0,69.4444,122.0,2023-05-20,"Las Vegas, Nevada, USA",USA,Red,False,Women's Strawweight,FEMALE,3,0,3,0,3.98,0.41,0.6,0.42,0.11,3,2,13,0,0,1,1,0,1,0,3,Orthodox,157.48,149.86,115,0,2,0,5.71,0.43,0.2,0.34,0.23,3,7,37,1,0,2,4,0,1,0,7,Orthodox,160.02,162.56,115,37,34,0,1,0,-4,-5,-24,-1,0,0,-2.54,-12.7,-3,-1.73,0.4,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,110.0,280.0,1700.0,460.0,950.0,1100.0,,,,,,,,May_20_23_karolina_kowalkiewicz_vanessa_demopoulos,3
1523,Orion Cosce,Gilbert Urbina,106.0,-124.0,106.0,80.6452,2023-05-20,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,1,0,0,5.61,0.57,0.8,3.01,0.44,0,1,2,0,0,0,0,0,0,0,0,Orthodox,190.5,190.5,170,0,1,0,2.77,0.53,0.0,1.92,0.4,1,1,8,0,0,0,1,1,0,0,2,Switch,180.34,180.34,170,28,27,1,-1,-1,-2,0,-6,0,-1,0,10.16,10.16,-1,2.84,0.8,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,2.0,2:55,475.0,340.0,350.0,600.0,380.0,340.0,550.0,,,,,,,,May_20_23_orion_cosce_gilbert_urbina,4
1524,Ilir Latifi,Rodrigo Nascimento,166.0,-198.0,166.0,50.5051,2023-05-20,"Las Vegas, Nevada, USA",USA,Blue,False,Heavyweight,MALE,3,0,1,0,4.05,0.49,0.6,1.23,0.37,2,1,9,0,0,1,0,0,2,0,3,Orthodox,187.96,203.2,246,0,2,0,2.05,0.45,0.3,2.11,0.35,3,6,31,0,0,1,3,3,2,0,9,Orthodox,177.8,185.42,230,40,30,0,-1,-1,-6,-5,-22,0,-3,0,10.16,17.78,-10,2.0,0.3,-0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,340.0,280.0,1300.0,500.0,600.0,240.0,,,,,,,,May_20_23_ilir_latifi_rodrigo_nascimento,6
1525,Chase Hooper,Nick Fiore,102.0,-120.0,102.0,83.3333,2023-05-20,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,1,0,0,2.83,0.46,0.0,2.5,0.45,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,155,1,0,0,5.08,0.52,2.3,1.45,0.24,2,3,17,0,0,0,1,2,1,0,4,Southpaw,185.42,187.96,155,23,25,0,0,-2,-4,-2,-14,0,-2,-1,-7.62,-5.08,2,-2.25,-2.3,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,390.0,360.0,340.0,500.0,700.0,330.0,,,,,,,,May_20_23_chase_hooper_nick_fiore,3
1526,Natalia Silva,Victoria Leonardo,-1200.0,630.0,8.3333,630.0,2023-05-20,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,1,0,3.22,0.38,0.0,1.57,0.27,1,2,9,0,0,0,1,1,0,0,2,Orthodox,165.1,162.56,125,0,2,0,4.53,0.44,0.0,0.5,0.28,2,0,6,0,0,0,1,1,0,0,2,Southpaw,162.56,165.1,125,26,33,0,-1,-1,0,2,3,0,0,0,2.54,-2.54,7,-1.31,0.0,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1.0,2:58,178.0,210.0,950.0,210.0,2000.0,200.0,2500.0,,,,,,,,May_20_23_natalia_silva_victoria_leonardo,1
1527,Takashi Sato,Themba Gorimbo,120.0,-142.0,120.0,70.4225,2023-05-20,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,1,0,0,2.53,0.69,0.0,4.04,0.58,0,1,2,0,0,0,0,0,0,0,0,Orthodox,185.42,195.58,170,3,0,0,2.21,0.41,0.0,0.76,0.37,1,4,12,0,0,0,0,2,0,0,2,Southpaw,177.8,185.42,170,32,32,-2,0,-1,-2,-3,-10,0,-2,0,7.62,10.16,0,0.32,0.0,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,600.0,310.0,1400.0,260.0,210.0,750.0,,,,,,,,May_20_23_takashi_sato_themba_gorimbo,6
1528,Jairzinho Rozenstruik,Jailton Almeida,390.0,-510.0,390.0,19.6078,2023-05-13,"Charlotte, North Carolina, USA",USA,Blue,False,Heavyweight,MALE,5,0,5,0,2.46,0.64,2.6,6.85,0.59,5,0,7,0,0,0,0,2,3,0,5,Orthodox,190.5,200.66,205,0,1,0,3.75,0.49,0.0,0.0,0.0,4,4,23,0,0,0,0,7,0,0,7,Orthodox,187.96,198.12,242,35,31,0,4,1,-2,-4,-16,0,-5,3,2.54,2.54,-4,-1.29,2.6,6.85,,12.0,9.0,,,,,9.0,,,,,,,,,,,,,12.0,,,,,,,,,Red,SUB,Rear Naked Choke,1.0,3:43,223.0,2400.0,950.0,2900.0,-105.0,500.0,230.0,,,,,,,,May_13_23_jairzinho_rozenstruik_jailton_almeida,5
1529,Anthony Smith,Johnny Walker,-102.0,-116.0,98.0392,86.2069,2023-05-13,"Charlotte, North Carolina, USA",USA,Blue,False,Light Heavyweight,MALE,3,0,2,0,3.87,0.53,0.9,0.45,1.0,4,4,19,0,0,0,1,5,1,0,7,Orthodox,198.12,208.28,205,1,0,0,3.24,0.49,0.6,0.46,0.26,3,9,50,1,0,0,1,7,5,0,13,Orthodox,193.04,193.04,205,34,31,-1,2,1,-6,-5,-31,-1,-2,-4,5.08,15.24,-3,0.63,0.3,-0.01,,7.0,5.0,,,,,,5.0,,,,,,,,,,,,,7.0,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,600.0,700.0,420.0,950.0,320.0,160.0,,,,,,,,May_13_23_anthony_smith_johnny_walker,6
1530,Daniel Rodriguez,Ian Machado Garry,245.0,-300.0,245.0,33.3333,2023-05-13,"Charlotte, North Carolina, USA",USA,Blue,False,Welterweight,MALE,3,0,4,0,5.5,0.55,0.3,0.77,0.55,4,0,10,0,0,0,2,2,0,0,4,Orthodox,190.5,187.96,170,1,0,0,7.42,0.49,0.1,0.55,0.5,4,2,25,0,0,1,4,2,1,0,8,Southpaw,185.42,187.96,170,36,25,-1,4,0,-4,-2,-15,0,0,-1,5.08,0.0,-11,-1.92,0.2,0.22,,,15.0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Kick,1.0,2:57,177.0,500.0,125.0,1600.0,1000.0,700.0,250.0,,,,,,,,May_13_23_daniel_rodriguez_ian_machado_garry,4
1531,Carlos Ulberg,Ihor Potieria,-490.0,380.0,20.4082,380.0,2023-05-13,"Charlotte, North Carolina, USA",USA,Red,False,Light Heavyweight,MALE,3,0,1,0,5.13,0.5,0.0,0.0,0.0,1,1,4,0,0,0,0,2,0,0,2,Southpaw,190.5,190.5,185,0,3,0,7.41,0.59,0.3,0.95,0.75,3,1,8,0,0,0,1,3,0,0,4,Orthodox,193.04,195.58,205,32,26,0,-2,-2,-2,0,-4,0,-1,0,-2.54,-5.08,-6,-2.28,-0.3,-0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1.0,2:09,129.0,420.0,1100.0,2000.0,1400.0,-180.0,750.0,,,,,,,,May_13_23_carlos_ulberg_ihor_potieria,1
1532,Tim Means,Alex Morono,184.0,-220.0,184.0,45.4545,2023-05-13,"Charlotte, North Carolina, USA",USA,Blue,False,Welterweight,MALE,3,1,0,0,4.96,0.41,0.4,0.36,0.26,4,5,42,0,0,1,7,2,1,0,11,Orthodox,180.34,182.88,170,2,0,0,5.08,0.49,0.2,1.16,0.4,4,11,59,0,0,1,6,5,2,0,14,Orthodox,187.96,190.5,170,39,32,-1,0,0,-3,-6,-17,0,-3,-1,-7.62,-7.62,-7,-0.12,0.2,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,2.0,2:09,429.0,420.0,170.0,1100.0,750.0,600.0,280.0,,,,,,,,May_13_23_tim_means_alex_morono,5
1533,Matt Brown,Court McGee,190.0,-230.0,190.0,43.4783,2023-05-13,"Charlotte, North Carolina, USA",USA,Red,False,Welterweight,MALE,3,1,0,0,4.6,0.37,0.4,1.84,0.25,3,10,55,1,0,1,7,0,2,0,10,Orthodox,180.34,190.5,170,1,0,0,3.76,0.55,1.3,1.68,0.46,7,13,66,0,0,0,2,12,2,0,16,Orthodox,182.88,190.5,170,42,38,0,0,-4,-6,-3,-11,1,-12,0,-2.54,0.0,-4,0.84,-0.9,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1.0,4:09,249.0,650.0,100.0,1300.0,700.0,400.0,600.0,,,,,,,,May_13_23_matt_brown_court_mcgee,1
1534,Karl Williams,Chase Sherman,-420.0,330.0,23.8095,330.0,2023-05-13,"Charlotte, North Carolina, USA",USA,Red,False,Heavyweight,MALE,3,1,0,0,6.04,0.45,0.0,0.09,0.5,2,10,33,0,0,0,1,3,0,0,4,Orthodox,193.04,198.12,250,0,2,0,2.68,0.48,0.2,4.2,0.48,2,0,6,0,0,0,2,0,0,0,2,Orthodox,190.5,200.66,235,33,33,1,-2,0,2,10,27,0,3,0,2.54,-2.54,0,3.36,-0.2,-4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,200.0,750.0,500.0,2000.0,160.0,750.0,,,,,,,,May_13_23_karl_williams_chase_sherman,3
1535,Cody Stamann,Douglas Silva de Andrade,-156.0,130.0,64.1026,130.0,2023-05-13,"Charlotte, North Carolina, USA",USA,Blue,False,Catch Weight,MALE,3,1,0,0,3.54,0.38,0.2,0.55,0.42,2,5,28,0,0,0,3,2,1,0,6,Orthodox,170.18,172.72,135,0,2,1,4.35,0.47,0.0,2.22,0.37,3,4,31,0,0,2,4,1,0,0,7,Orthodox,167.64,162.56,135,33,37,1,-2,-1,-1,1,-3,0,1,1,2.54,10.16,4,-0.81,0.2,-1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,105.0,430.0,1700.0,900.0,850.0,350.0,,,,,,,,May_13_23_cody_stamann_douglas_silva_de_andrade,6
1536,Ji Yeon Kim,Mandy Bohm,-240.0,198.0,41.6667,198.0,2023-05-13,"Charlotte, North Carolina, USA",USA,Blue,False,Women's Flyweight,FEMALE,3,2,0,0,2.51,0.45,0.7,0.72,0.18,0,2,6,0,0,0,0,0,0,0,0,Orthodox,170.18,180.34,125,4,0,0,5.37,0.36,0.1,0.0,0.0,2,6,26,0,0,2,0,1,0,0,3,Orthodox,170.18,182.88,125,33,33,-2,0,-2,-3,-4,-20,0,-1,0,0.0,-2.54,0,-2.86,0.6,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3.0,1:55,715.0,-115.0,260.0,900.0,1800.0,600.0,1700.0,,,,,,,,May_13_23_ji_yeon_kim_mandy_bohm,6
